Champion,True_Winrate,Predicted_Winrate
Aatrox,0.5,0.5
Ahri,0.5425532,0.5048305
Akali,0.47457626,0.49711415
Akshan,0.41666666,0.49054056
Alistar,0.52459013,0.50279075
Ambessa,0.5263158,0.50298697
Amumu,0.6666667,0.5189189
Anivia,0.4090909,0.4896806
Annie,0.45454547,0.4948404
Aphelios,0.3888889,0.48738736
Ashe,0.4861111,0.49842343
AurelionSol,0.6315789,0.5149359
Aurora,0.47826087,0.49753237
Azir,0.5904762,0.5102701
Bard,0.51428574,0.50162274
Belveth,0.3809524,0.4864865
Blitzcrank,0.4814815,0.4978977
Brand,0.16666667,0.46216217
Braum,0.5185185,0.50210094
Briar,1.0,0.5567565
Caitlyn,0.34210527,0.48207682
Camille,0.45,0.49432436
Cassiopeia,0.45454547,0.4948404
Chogath,1.0,0.5567565
Corki,0.53731346,0.5042351
Darius,0.38297874,0.48671657
Diana,0.46875,0.49645284
DrMundo,0.46153846,0.49563432
Draven,0.50877196,0.5009955
Ekko,0.5,0.5
Elise,0.5633803,0.5071948
Evelynn,0.0,0.44324338
Ezreal,0.50183153,0.50020385
FiddleSticks,0.5294118,0.50333804
Fiora,0.5131579,0.5014937
Galio,0.5869565,0.5098706
Gangplank,0.58064514,0.5091546
Garen,0.5714286,0.5081077
Gnar,0.5777778,0.5088289
Gragas,0.50877196,0.5009955
Graves,0.5217391,0.50246745
Gwen,0.5105263,0.50119394
Hecarim,0.6744186,0.5197989
Heimerdinger,0.25,0.47162175
Hwei,0.48387095,0.49816918
Illaoi,0.0,0.44324338
Irelia,0.546875,0.5053207
Ivern,0.36363637,0.484521
Janna,0.5,0.5
JarvanIV,0.25,0.47162175
Jax,0.4117647,0.4899841
Jayce,0.548718,0.50552976
Jhin,0.48809522,0.49864846
Jinx,0.5609756,0.50692147
KSante,0.46153846,0.49563432
Kaisa,0.5,0.5
Kalista,0.4,0.48864853
Karma,0.46575344,0.49611267
Karthus,0.46938777,0.49652508
Kassadin,0.75,0.52837837
Katarina,0.33333334,0.4810811
Kayn,0.2,0.46594584
Kennen,0.5641026,0.5072761
Khazix,0.6666667,0.5189189
Kindred,0.4878049,0.49861574
Kled,0.5625,0.5070943
KogMaw,0.0,0.44324338
Leblanc,0.32258064,0.47986054
LeeSin,0.44516128,0.493775
Leona,0.54285717,0.5048645
Lillia,0.55932206,0.50673395
Lissandra,0.35714287,0.48378387
Lucian,0.51428574,0.50162274
Lulu,0.61904764,0.51351357
Lux,0.45454547,0.4948404
Malphite,0.6,0.5113513
Malzahar,0.36363637,0.484521
Maokai,0.5,0.5
MasterYi,0.42857143,0.49189192
Mel,0.42105263,0.4910384
Milio,0.5,0.5
MissFortune,0.4920635,0.49909842
MonkeyKing,0.4090909,0.4896806
Mordekaiser,0.75,0.52837837
Morgana,1.0,0.5567565
Naafiri,0.511811,0.50134045
Nami,0.14285715,0.45945942
Nasus,0.6666667,0.5189189
Nautilus,0.48091602,0.4978335
Neeko,0.52,0.5022692
Nidalee,0.5263158,0.50298697
Nilah,0.4,0.48864853
Nocturne,0.62,0.51362157
Nunu,0.45454547,0.4948404
Olaf,0.5,0.5
Orianna,0.5555556,0.5063065
Ornn,0.3846154,0.4869023
Pantheon,0.475,0.49716198
Poppy,0.5070422,0.50080085
Pyke,0.43209878,0.49229237
Qiyana,0.58064514,0.5091546
Quinn,0.5,0.5
Rakan,0.5,0.5
Rammus,0.0,0.44324338
RekSai,0.6,0.5113513
Rell,0.49074075,0.49894953
Renata,0.21052632,0.4671409
Renekton,0.61538464,0.5130975
Rengar,0.5102041,0.50115734
Riven,0.73913044,0.5271446
Rumble,0.38709676,0.48718405
Ryze,0.40229884,0.48890954
Samira,0.5,0.5
Sejuani,0.46153846,0.49563432
Senna,0.5063291,0.50071925
Seraphine,0.41666666,0.49054056
Sett,0.375,0.48581082
Shaco,0.22222222,0.4684683
Shen,0.5,0.5
Singed,0.5555556,0.5063065
Sion,0.5277778,0.50315315
Sivir,0.54545456,0.50516015
Skarner,0.5882353,0.5100156
Smolder,0.625,0.51418906
Soraka,0.21428572,0.46756765
Swain,0.53333336,0.5037834
Sylas,0.51666665,0.50189114
Syndra,0.47826087,0.49753237
TahmKench,0.125,0.45743242
Taliyah,0.51648355,0.50187194
Talon,0.47761193,0.49745893
Taric,0.42857143,0.49189192
Teemo,0.11111111,0.45585585
Thresh,0.5833333,0.5094593
Tristana,0.47368422,0.49701288
Trundle,1.0,0.5567565
Tryndamere,0.6363636,0.515479
TwistedFate,0.5483871,0.5054927
Twitch,0.4,0.48864853
Udyr,0.0,0.44324338
Urgot,0.3888889,0.48738736
Varus,0.53977275,0.50451446
Vayne,0.5833333,0.5094593
Veigar,0.5,0.5
Velkoz,0.6666667,0.5189189
Vex,0.5263158,0.50298697
Vi,0.56989247,0.50793356
Viego,0.48765433,0.49859855
Viktor,0.5714286,0.5081077
Vladimir,0.41666666,0.49054056
Volibear,0.53846157,0.5043655
Warwick,0.59090906,0.5103192
Xayah,0.5,0.5
Xerath,0.45454547,0.4948404
XinZhao,0.5531915,0.5060377
Yasuo,0.47619048,0.49729726
Yone,0.3963964,0.48823965
Yorick,0.625,0.51418906
Yuumi,0.33333334,0.4810811
Zac,0.51785713,0.50202674
Zed,0.43939394,0.49312043
Zeri,0.51282054,0.5014549
Ziggs,0.6,0.5113513
Zilean,0.4,0.48864853
Zoe,0.5,0.5
Zyra,0.537037,0.5042046
